,index,Unnamed: 0,graph,cnmr,smiles
14,14,14,000002202.pickle,000002202.csv,N1(C(N(C(C(C(=O)O[H])([H])[H])([H])[H])C(SC1=S)([H])[H])([H])[H])C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
15,15,15,000002203.pickle,000002203.csv,N1(C(N(C(SC1=S)([H])[H])C(C(O[H])=O)([H])[H])([H])[H])C(C=2OC(=C(C2[H])[H])[H])([H])[H]
16,16,16,000002204.pickle,000002204.csv,C12=C(C3=C(N1[H])C(=C(C(=C3[H])[H])[H])[H])C(N4C(C(C(F)(F)C([H])([H])[H])(C(C(C(C2(C5=C(C=6C78C(N(C6C(=C5OC([H])([H])[H])[H])C([H])([H])[H])(C(C(C9(C(C([H])([H])[H])([H])[H])C7(N(C(C(=C9[H])[H])([H])[H])C(C8([H])[H])([H])[H])[H])(OC(=O)C([H])([H])[H])[H])(O[H])C(OC([H])([H])[H])=O)[H])[H])C(OC([H])([H])[H])=O)([H])[H])(C4([H])[H])[H])([H])[H])[H])([H])[H])([H])[H]
17,17,17,000002205.pickle,000002205.csv,C1(C(=C(N(C(=C1C(=O)OC([H])([H])[H])C([H])([H])[H])[H])Cl)C(=O)[H])(C=2C(=C(C(=C(C2[H])[H])C(=O)O[H])[H])[H])[H]
18,18,18,000002206.pickle,000002206.csv,C1(O[H])(C(C(O[H])([H])[H])(OC(C(C1(O[H])[H])(N(C(=O)C([H])([H])[H])[H])[H])(N(C(=O)C(N([H])[H])([H])[H])[H])[H])[H])[H]
19,19,19,000002207.pickle,000002207.csv,C1(=C(C(=C(C(OC([H])([H])[H])=O)C(=C1[H])[H])[H])[H])C2(C=3C(C(C(C(C3N(C(=C2C#N)N([H])[H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])=O)[H]
20,20,20,000002208.pickle,000002208.csv,C1(C2(OC(N(C3=C(C(=C(C(=C3O[H])[H])[H])[H])[H])C2(OC(C1(O[H])[H])(C(O[H])([H])[H])[H])[H])=O)[H])(O[H])[H]
21,21,21,000002209.pickle,000002209.csv,C1(C(C(C23C(C1([H])[H])(OC(C2(C([H])([H])[H])C([H])([H])[H])(C(=C(C3(C([H])([H])[H])O[H])[H])[H])Br)[H])([H])[H])(Br)[H])(Cl)C([H])([H])[H]
22,22,22,000002210.pickle,000002210.csv,C1(=C(OC(=C1[H])[H])[H])C2(OC(C3(C2([H])[H])C4(C(C(C(C56C4(C(C(C3(C([H])([H])[H])[H])([H])[H])(O5)[H])C(OC6=O)([H])[H])([H])[H])(O[H])[H])([H])[H])[H])=O)[H]
23,23,23,000002211.pickle,000002211.csv,C1(C2(C(=C(C(C(C2=O)(C(C([H])([H])[H])(C([H])([H])[H])C1(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])=O)C(C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])=O)O[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H]
24,24,24,000002212.pickle,000002212.csv,S(C1=C(C(C(N([H])[H])(C(=O)O[H])[H])([H])[H])N(C([H])([H])[H])C(=N1)[H])SC=2N=C(N(C2C(C(N([H])[H])(C(O[H])=O)[H])([H])[H])C([H])([H])[H])[H]
25,25,25,000002214.pickle,000002214.csv,C=1(C(=C(C2=C(C1[H])C34C5(C6(C(C(C(C(N6C(C3([H])[H])(O5)[H])([H])[H])=C(C([H])([H])[H])[H])([H])C4(C(=O)OC([H])([H])[H])[H])([H])[H])[H])N2[H])[H])[H])[H]
26,26,26,000002215.pickle,000002215.csv,C=1(C(=C(C2=C(C1[H])C34C(C5([H])N6C([H])(C(=C(C([H])([H])[H])[H])C([H])(C3(C(=O)OC([H])([H])[H])[H])C5([H])[H])C4(C(O6)([H])O[H])[H])=N2)[H])[H])[H]
27,27,27,000002216.pickle,000002216.csv,C1(=C(C(=C(C(=C1[H])OC([H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])[H])OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H]
28,28,28,000002218.pickle,000002218.csv,C=1(C(=NC=2N(C1[H])N=C(N2)[H])[H])[H]
29,29,29,000002220.pickle,000002220.csv,C12(C(=C(C(C3(C1(C([H])([H])[H])C(C(C(C32[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H]
30,30,30,000002222.pickle,000002222.csv,C1(C(C(=C(C(C2=C(C(C(=C1[H])C([H])([H])[H])([H])[H])OC(=C2C([H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H]
31,31,31,000002224.pickle,000002224.csv,N1(C=2C([Se]C1=NC(C34C(C(C(C(O3)=O)(C4(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])=O)=C5C(=C(C2[H])[H])C(=C(C(=C5[H])[H])[H])[H])[H]
32,32,32,000002225.pickle,000002225.csv,C12(C3=C(C(=C(C1=O)C([H])([H])[H])C([H])([H])[H])OC(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])OC=4C(=C(C=5OC(C(C(C5C4C2([H])[H])([H])[H])([H])[H])(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
33,33,33,000002227.pickle,000002227.csv,O1C2=C(C(=C(C1(C([H])([H])[H])C([H])([H])[H])[H])[H])C(=C3C(=C2[H])C(OC3=O)([H])[H])O[H]
34,34,34,000002228.pickle,000002228.csv,C1(C(C(C(C2(C1(C(C(C3(C2(C(C(C4(C3(C(C(C(C4([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])C(O[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])C([H])([H])[H])(C(C(C(=O)O[H])([H])[H])([H])[H])[H]
35,35,35,000002229.pickle,000002229.csv,C1(=C(C(=C(C(=N1)[H])[H])[H])[H])C2=C(C(=C(N2C(=C([H])[H])[H])[H])[H])[H]
36,36,36,000002230.pickle,000002230.csv,C1(C2=C(C(=C(N2C(=C([H])[H])[H])[H])[H])[H])=C(C(=C(N1C(=C([H])[H])[H])[H])[H])[H]
37,37,37,000002231.pickle,000002231.csv,C1(C(C(C2=C(C1([H])[H])C(=C3C(=N2)C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H]
38,38,38,000002232.pickle,000002232.csv,C1(=C(C(=C(C(=C1[H])[H])C(=NO[H])N([H])[H])[H])[H])N([H])[H]
39,39,39,000002233.pickle,000002233.csv,C=1(C2=C(C(=C(C1[H])[H])[H])N3C4=C2C5=C(C6=C4N(C7=C6C(=C(C(=C7[H])[H])[H])[H])C8(OC3([H])C(C(C8(OC([H])([H])[H])[H])(N(C([H])([H])[H])[H])[H])([H])[H])C([H])([H])[H])C(N(C5=O)[H])([H])[H])[H]
40,40,40,000002234.pickle,000002234.csv,C1(C(C(C2(C(C1([H])[H])(C3(C(C(C2([H])[H])([H])[H])(C4(C(=C(C3([H])[H])[H])C5(C(C(C4([H])[H])([H])[H])(C(C(C(C5([H])[H])(C([H])([H])[H])C(=O)O[H])([H])[H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])(O[H])[H])([H])[H]
41,41,41,000002235.pickle,000002235.csv,O1C(C(C(C1(C(=O)O[H])[H])([H])[H])([H])[H])=O
42,42,42,000002236.pickle,000002236.csv,C=1(C2=C(C(=C3C4=C2C(C5(OC=6C(=C(C7=C(C(=C(C=8C(=C(C(=C(C8[H])[H])O[H])[H])[H])C=9C(=O)C%10(O[H])OC(C(=C3[H])[H])=C4C5(C%10(C6C79)[H])[H])[H])[H])[H])[H])O[H])=O)[H])[H])C(=C(C(=C(C1[H])[H])O[H])[H])[H]
43,43,43,000002237.pickle,000002237.csv,C1(=C(C(C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])=C3C(=O)C4(OC=5C(=C(C6=C7C5C8(C4(C=9C3=C1C(=C(C9OC8(C(=O)C7=C(C=%10C(=C(C(=C(C%10[H])[H])[H])[H])[H])C(=C6[H])[H])O[H])[H])[H])[H])[H])[H])[H])O[H])[H])[H]
44,44,44,000002238.pickle,000002238.csv,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C2=C(C(=C3C(OC(=C4C3=C2C(C(=C4[H])O[H])=O)[H])=O)[H])[H]
45,45,45,000002239.pickle,000002239.csv,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C2=C(C(=C3C(OC(C=4C3=C2C(=C(O[H])C4[H])OC5(OC(C(C(C5(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])(C(=O)O[H])[H])=O)[H])[H]
46,46,46,000002240.pickle,000002240.csv,C=1(C(=C(C2=C3C1C(C(=C(C3=C(C(=C2[H])[H])[H])[H])O[H])=O)[H])[H])C=4C(=C(C(=C(C4[H])[H])[H])[H])[H]
47,47,47,000002241.pickle,000002241.csv,C=1(C(=C(C(=C(C1[H])[H])O[H])[H])[H])C(=C(C2=C(C(=C3C(=C(OC3=C2[H])C=4C(=C(C(=C(C4[H])[H])O[H])[H])[H])C5=C(C(=C(C(=C5[H])O[H])[H])O[H])[H])O[H])[H])[H])[H]
48,48,48,000002242.pickle,000002242.csv,C1(C(C(C(C(O1)(C([H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2=C(C(=C3C(=C(C(OC3=C2C4=C(C5=C(C(=C4O[H])[H])OC(C(=C5[H])[H])=O)[H])=O)[H])[H])[H])[H])[H]
49,49,49,000002243.pickle,000002243.csv,C1(C2(C(=C(C(C1(C2(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])C(O[H])([H])[H])[H])([H])[H]
50,50,50,000002244.pickle,000002244.csv,C12(C3(C(N(S(C(C1([H])[H])(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])[H])(=O)=O)C(C3(C([H])([H])[H])N(O2)C([H])([H])[H])([H])[H])([H])[H])[H])[H]
51,51,51,000002245.pickle,000002245.csv,C1(=C(C(N(S(C(C1([H])[H])(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])[H])(=O)=O)C(C(=O)C([H])([H])[H])([H])[H])([H])[H])[H])[H]
52,52,52,000002246.pickle,000002246.csv,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C([N+](C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])([H])[H])(P(=O)(OC(C([H])([H])[H])([H])[H])[O-])[H]
53,53,53,000002247.pickle,000002247.csv,C1(=C(C(=NC(=C1[H])[H])[H])[H])C2=C3C(=[N+](C=4C(C(C(C(C42)([H])[H])([H])[H])([H])[H])([H])[H])[O-])C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H]
54,54,54,000002248.pickle,000002248.csv,C1(=C(C2=C3C(=C1[H])C(C(N(C3(C(C4=C2C(=C(C(=C4[H])O[H])OC([H])([H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])OC([H])([H])[H])O[H]
55,55,55,000002249.pickle,000002249.csv,C1(C2=C(C(O1)=O)C(=C(C(=C2[H])[H])OC([H])([H])[H])OC([H])([H])[H])=C(C3=C(C(=C4C(=C3[H])OC(O4)([H])[H])[H])C(C(N(OC5(C6(C(C7=C5C(=C8C(=C7[H])OC(O8)([H])[H])[H])(C9(OC(C%10=C9C(=C(C(=C%10OC([H])([H])[H])OC([H])([H])[H])[H])[H])=O)ON6C([H])([H])[H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H]
56,56,56,000002250.pickle,000002250.csv,C1(OC2(C(C(C3(C(C2(C(=O)[H])C([H])([H])[H])(C(C(C4(C3(C(C(=C5C4(C(C(C6(C5(C(C(C(C6([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])C(=O)O[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])(OC(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(=O)O[H])[H])[H]
57,57,57,000002251.pickle,000002251.csv,C(C(C(C(C(=O)O[H])([H])[H])([H])[H])(O[H])[H])(=O)O[H]
58,58,58,000002252.pickle,000002252.csv,C1(=C(C(C2=C1C(=C(C(=C2[H])C3(C(C(C4=C3C(=C(C(=C4[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H])([H])[H])[H])[H]
59,59,59,000002253.pickle,000002253.csv,C1(C(C(C(C2(C(=O)C(C3(C4(C(C(C(C(C([H])([H])[H])(C(O[H])(C(C(C([H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])(O[H])[H])[H])[H])(C4(C(C(C3(C21C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])([H])[H])(O[H])[H])(O[H])[H])([H])[H]
60,60,60,000002254.pickle,000002254.csv,C1(C2(C(C3(C(C1([H])[H])(C4(C(C(C3([H])[H])([H])[H])(C5(C(C(C4([H])[H])([H])[H])(C(C(C5([H])[H])([H])[H])(C6=C(C(OC6([H])[H])=O)[H])[H])C([H])([H])[H])O[H])[H])[H])C(O2)(OC([H])([H])[H])[H])[H])([H])[H])[H])(O[H])[H]
61,61,61,000002255.pickle,000002255.csv,C1(=C(C(=C(C(=C1Cl)[H])[H])[H])Cl)N2S(C=3C(C(C(C(C3C2(OO[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(=O)=O
62,62,62,000002256.pickle,000002256.csv,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])N2S(C=3C(C(C(C(C3C2(O[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(=O)=O
63,63,63,000002257.pickle,000002257.csv,C=1(C(=C(C(=C(C1Cl)[H])[H])[H])Cl)N2S(C=3C(C(C(C(C3C2=O)([H])[H])([H])[H])([H])[H])([H])[H])(=O)=O
64,64,64,000002258.pickle,000002258.csv,C=1(C(C(OC(=O)C(C([H])([H])[H])=C([H])[H])(C2(C(C3(C1C(C(=C3C([H])([H])[H])[H])=O)[H])(OC(C2=C([H])[H])=O)[H])[H])[H])([H])[H])C([H])([H])[H]
65,65,65,000002259.pickle,000002259.csv,C1(O[H])(C(C(C([H])([H])[H])=C(C2(C(C(C(O2)=O)=C([H])[H])(C(OC(=O)C(C([H])([H])[H])=C([H])[H])(C(C(C([H])([H])[H])=C1[H])([H])[H])[H])[H])[H])[H])(O[H])[H])[H]
66,66,66,000002260.pickle,000002260.csv,O(C1(C(OC(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])(C#N)[H])(OC(C(O[H])(C1(O[H])[H])[H])(C(O[H])([H])[H])[H])[H])[H])[H]
67,67,67,000002261.pickle,000002261.csv,C1(C(=C([H])[H])C2(C3(C(C1([H])[H])(C2(C([H])([H])[H])C(C(C(C3(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])(OC(=O)C([H])([H])[H])[H]
68,68,68,000002262.pickle,000002262.csv,C1(=C([H])[H])C(OC(C([H])([H])[H])=O)(C(C2(C3(C(C(C(C3([H])[H])([H])[H])([H])[H])(C1(C2([H])[H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])[H])[H]
69,69,69,000002263.pickle,000002263.csv,C=1(O[H])C(=C(C=2C(C(C(OC2C1[H])(C=3C(=C4C(=C(C3[H])[H])OC(C(=C4[H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])=O)[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H]
70,70,70,000002264.pickle,000002264.csv,C=1(C2=C(N(C(=C2C(C3(N(C(C(N(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(N(C(=O)C(N(C(C(N(C(C(C([H])([H])[H])(N(C(C(C(C(N(C3=O)[H])([H])[H])([H])[H])([H])[H])=O)[H])[H])=O)[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])=O)[H])(C(C=4C(=C(C(=C(C4[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])=O)[H])(C(O[H])([H])[H])[H])=O)[H])[H])([H])[H])[H])[H])C(=C(C1[H])[H])[H])[H]
71,71,71,000002266.pickle,000002266.csv,O1C=2C(=C(C(=C(C2C3=C1C(=C(C(=C3C([H])([H])[H])[H])O[H])[H])C([H])([H])[H])Cl)OC([H])([H])[H])[H]
72,72,72,000002267.pickle,000002267.csv,C1(C(C(O[H])(C2(C(C(OC2(C3(C(C([H])([H])[H])(C(O[H])(C4(OC143)[H])[H])O[H])[H])[H])=O)=C([H])[H])[H])[H])([H])[H])(O[H])C([H])([H])[H]
73,73,73,000002269.pickle,000002269.csv,C1(C(=C(C([H])([H])[H])C(C(C2(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C(C21C([H])([H])[H])=O)([H])[H])O[H])[H])(OC(C3=C(C(=C(C(=C3[H])OC([H])([H])[H])O[H])[H])[H])=O)[H])([H])[H])[H])(O[H])[H]
74,74,74,000002270.pickle,000002270.csv,C1(C2(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C2(C(OC(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])=O)(C(C(C1=O)(C([H])([H])[H])O[H])([H])[H])[H])[H])O[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H]
75,75,75,000002271.pickle,000002271.csv,C=1(C(=O)[H])C2=C(C(=C(C(=C2OC1C=3C(=C(C(=C(C3OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H])O[H]
76,76,76,000002273.pickle,000002273.csv,C1(C(C(C([H])([H])[H])(C2(C3(C(C(C2(C1([H])[H])OC3=C(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])([H])[H]
77,77,77,000002276.pickle,000002276.csv,C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])C(=O)OC(C(C(=C2C(=C(C(O2)=O)[H])[H])[H])=O)([H])[H]
78,78,78,000002277.pickle,000002277.csv,C1(C(C(C([H])([H])[H])(C2(C(C(C3(C(C4(C(C3(C(C(C4(C([H])([H])[H])O[H])([H])[H])([H])[H])C2(C([H])([H])[H])C1([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])(O[H])[H])(O[H])[H]
79,79,79,000002278.pickle,000002278.csv,C1(O[H])(C(C(C2(C(C(C3(C(C(C(=C4C3(C([H])([H])[H])C(C(C5(C4(C(C(C(C5([H])[H])([H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])O[H])[H])C(O[H])=O)([H])[H])([H])[H])[H])([H])[H])(C2(C1([H])[H])C([H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])=O)[H]
80,80,80,000002279.pickle,000002279.csv,C1(=C(C(=C2C(=C(C(OC2=C1[H])([H])[H])C=3C(=C(C(=C(C3[H])[H])O[H])[H])OC([H])([H])[H])[H])[H])C(C(=C([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])O[H]
81,81,81,000002280.pickle,000002280.csv,C1(C(C(C2(C(C(C3=C(C2(C1([H])[H])C([H])([H])[H])C(C(C4(C3=C(C5(C4(C6(C(O5)(C(OC6(O[H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(=O)C([H])([H])[H])O[H])[H])[H])[H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(O[H])[H])([H])[H]
82,82,82,000002281.pickle,000002281.csv,C1(C(C(C2(C(C(C=3C(=C(C(=C(C3C2(C1([H])[H])C([H])([H])[H])O[H])OC([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])O[H])=O)([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])(O[H])[H])([H])[H]
83,83,83,000002282.pickle,000002282.csv,C1(=C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])C(=O)C(=C(C1=O)O[H])C(C(=C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])O[H]
84,84,84,000002283.pickle,000002283.csv,C(C1(C(C(C2(C(C1(C3=C(O2)C(=O)C(=C(C3=O)C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])OC(=O)C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])(O[H])(C([H])([H])[H])C([H])([H])[H]
85,85,85,000002284.pickle,000002284.csv,C1(OC(C(O[H])(C(C1(O[H])[H])(O[H])[H])[H])(C(O[H])([H])[H])[H])(OC(C(=C(C(OC(C(=C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])O[H])[H])[H])[H])[H])=O)([H])[H])C#N)[H])([H])[H])[H]
86,86,86,000002286.pickle,000002286.csv,O(C1(OC(C(C(O[H])(C1(O[H])[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])C(C(C(C(C2(C(C3(C4(C(C(C5(C6(C(C(C(C(C6(C(C(C5(C4(C(C3(O2)[H])([H])[H])[H])[H])([H])[H])(OC7(OC(C(O[H])(C(OC8(C(C(C(O[H])(C(O8)(C([H])([H])[H])[H])[H])(O[H])[H])(O[H])[H])[H])(C7(O[H])[H])[H])[H])(C([H])([H])[H])[H])[H])[H])[H])([H])[H])=O)([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])(C([H])([H])[H])[H])O[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H]
87,87,87,000002288.pickle,000002288.csv,C=1(C(=C2C=3C(C(C([H])([H])[H])(OC(C([H])([H])[H])([H])[H])[H])=C(C(OC([H])([H])[H])=C(C3C(C(C2=C(C1O[H])C([H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H]
