,File_name,SMILES,sugar,solvent_class,Molecular_Weight,Num_Atoms,MW class
50,05555.csv,CC1=C2CC[C@]3(C2(C=CC4=C3C=CC(=C4C)OC)C(C1=O)[C@@H](C)C(C)(C)O)C,0,0,380.528,60,small
51,05577.csv,CC1C2CCC3=C([C@]2(CCC1O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)C)CC[C@]6(C3=CC[C@@H]6[C@H](C)CC(CC(C)C)O)C,1,5,738.956,118,medium
52,06974.csv,CC1=CC(=C(C(=C1)OC2=C(C(=C(C(=C2C)C(=O)OC)O)C)O)CO)O,0,2,348.351,45,small
53,07096.csv,CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC)C)\C,0,0,792.02,125,medium
54,07104.csv,CC(=CCC1=C(N=CN1C)/C=C/C(=O)OC)C,0,0,234.299,35,small
55,07112.csv,C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)C)C)C)NC1,1,5,1000.186,151,large
56,07112.csv,C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)C)C)C)NC1,1,0,1000.186,151,large
57,07256.csv,CC1=C[C@]23[C@](CC1=O)([C@]4(CC[C@H]([C@]4(O2)CO)O3)C)C,0,0,264.321,39,small
58,07341.csv,C[C@@H]1CC[C@@]2([C@@H]([C@@]1(C)CC[C@]3(CCN4C5=C(N=CN=C5N3OC)N(C4=O)C)C)CCCC2=C)C,0,0,467.658,75,small
59,08267.csv,C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3,0,0,200.266,22,small
60,02807.csv,C[C@@H]1[C@H]([C@H](C2=C([C@]1(C)CCC(C)(C=C)O)CCCC2(C)C)OC(=O)C)OC(=O)C,0,6,406.563,67,small
61,03061.csv,CC1=C(C(=C2C(=C1O)C(=O)C(CO2)CC3=CC4=C(C=C3)OCO4)C=O)O,0,0,356.33,42,small
62,21575.csv,C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,0,2,364.781,42,small
63,03882.csv,C[C@@H]1CC[C@]2(CCCCO2)O[C@@H]1[C@@H](C)C[C@@H]([C@@H]3C(=C)[C@H]([C@H]4[C@H](O3)CC[C@]5(O4)CC[C@@H](O5)/C=C/[C@@H](C)[C@@H]6CC(=C[C@@]7(O6)[C@@H](CC[C@H](O7)CC(=O)C)O)C)O)O,0,0,758.99,120,medium
64,00012.csv,CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,0,8,506.471,59,medium
65,20958.csv,COC(=O)C1=C(C(=CN1)C2=CNC3=CC(=C(C=C32)Cl)Cl)C4=CNC5=C4C=C(C=C5)Cl,0,0,458.732,44,small
66,21289.csv,C1=CC(=CC=C1CC(CC(=O)O)(C(=O)O)O)O,0,7,240.211,29,small
67,21755.csv,COC1=C(C(=C(C(=C1)O)C(=O)/C=C/C2=CC=CC=C2)O)[C@H]3C[C@@H](OC4=C(C(=CC(=C34)OC)O)OC)C5=CC=CC=C5,0,0,554.595,71,medium
68,21856.csv,C/C/1=C\C=C\CC[C@@H]([C@H](/C=C/[C@H](CCC/C=C/C(=O)O[C@H](C1)[C@H](C)/C=C(\C)/C=C/NC(=O)C=C(C)C)O)O)OC(=O)N,0,1,584.754,90,medium
69,22557.csv,CC(C)C1=CC2=C[C@@H]3[C@@H]4[C@@](C2=C(C1=O)O)(CCCC4(C)C)C(=O)O3,0,0,328.408,48,small
70,22806.csv,CNC1=NC2=C(C(=O)N=CC=C2N1)CC3=CC(=C(C(=C3)Br)OC)Br,0,1,454.122,38,small
71,23614.csv,CC(=C)C1CC2=C(C3=C1C(=C(C=C3O)O)O)OC4=C(C2=O)C(=CC5=C4C=CC(O5)(C)C)O,0,0,434.444,54,small
72,23648.csv,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)NC(=N3)N)COC(=O)N)N,0,3,299.291,38,small
73,23648.csv,C1CN2C(=N[C@H]([C@H]3[C@]2(C1(O)O)NC(=N3)N)COC(=O)N)N,0,7,299.291,38,small
74,24526.csv,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(\[C@@H]([C@H](/C=C\C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)\C)OC)O)/C)C)O)OC,0,0,517.619,76,medium
75,25031.csv,C[C@@]12CC[C@@]3([C@@H](C1=CC(CC2)(C)C)CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C(=O)C[C@@H](C5(C)C)O)C)C)C,0,6,440.712,80,small
76,26861.csv,CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C=C[C@]3([C@H]2OC(=O)C)CC5=CC(=C6C(=C7C(=O)C=C[C@@H]([C@@]7(OC6=C45)C(=O)OC)O)O)O)O,1,0,614.559,71,medium
77,27437.csv,COC1=CC(=C(C=C1)C(=O)N)O,0,0,167.164,21,small
78,27437.csv,COC1=CC(=C(C=C1)C(=O)N)O,0,1,167.164,21,small
79,27516.csv,C[C@@H](CC/C=C(/C)\C(=O)O)C(=O)[C@@H]1C[C@]2([C@@H]3CC[C@@H]4[C@@](C3=C[C@]2([C@]1(C)O)O)(CCC(=O)C4(C)C)C)C,0,0,500.676,80,medium
80,30435.csv,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,0,1,435.564,65,small
81,30789.csv,C1=CC=C2C=C(C=CC2=C1)[N+](=O)[O-],0,0,173.171,20,small
82,30811.csv,C1CC(CCC1O)O,0,0,116.16,20,small
83,30841.csv,C1=CC(=CC(=C1)[N+](=O)[O-])CBr,0,0,216.034,17,small
84,30936.csv,C1CC(OC1)C(=O)O,0,0,116.116,16,small
85,31001.csv,C1CC(CCC1N)O,0,0,115.176,21,small
86,31030.csv,C1=CC=C(C(=C1)N2C(=O)C=CC2=O)N3C(=O)C=CC3=O,0,1,268.228,28,small
87,31038.csv,C1=CC(=C(C=C1C(=O)O)Cl)O,0,0,172.567,16,small
88,31127.csv,C1C=CC=CC=C1,0,0,92.141,15,small
89,31266.csv,CC(C)(CO)CCl,0,0,122.595,18,small
90,31274.csv,CC1=CC2=C(C=C1C)SC(=N2)C,0,0,177.272,23,small
91,31369.csv,C1=CC=C(C=C1)N(C=O)C2=CC=CC=C2,0,0,197.237,26,small
92,31395.csv,C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=N3,0,1,195.225,24,small
93,31447.csv,COC(CCCN)OC,0,0,133.191,24,small
94,31490.csv,CC(=O)NC(=C)C(=O)O,0,1,129.115,16,small
95,31565.csv,C1=CC(=CC(=C1)C(=O)O)C=O,0,1,150.133,17,small
96,31683.csv,CCCOC1=CC2=CC=CC=C2C=C1,0,0,186.254,28,small
97,31743.csv,C1=CC(=C(C=C1F)F)N,0,0,129.109,14,small
98,31746.csv,C(C(C(F)(F)F)Br)Br,0,0,255.859,11,small
99,31799.csv,C1CCC(C1)C(C2=CC=CC=C2)C(=O)O,0,0,204.269,31,small
100,31898.csv,COC1=C(C(=CC=C1)OC)P(C2=C(C=CC=C2OC)OC)C3=C(C=CC=C3OC)OC,0,0,442.448,58,small
101,31927.csv,CC1(C2=CC=C(C=C2)OC(=O)OC3=CC=C(C=C3)C(C4=CC=C(C=C4)OC(=O)OC5=CC=C1C=C5)(C)C)C,0,0,508.57,66,medium
102,31929.csv,CC1(C2=CC=C(C=C2)OC(=O)OC3=CC=C(C=C3)C(C4=CC=C(C=C4)OC(=O)OC5=CC=C(C=C5)C(C6=CC=C(C=C6)OC(=O)OC7=CC=C(C=C7)C(C8=CC=C(C=C8)OC(=O)OC9=CC=C1C=C9)(C)C)(C)C)(C)C)C,0,0,1017.14,132,large
103,32021.csv,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)O,0,1,292.334,38,small
104,32046.csv,CCCCCC1=CC=C(C=C1)N=CC2=CC=C(C=C2)OCCCC,0,0,323.48,53,small
105,32093.csv,CC(C1=CC=C(C=C1)C2=CC=CC=C2)O,0,0,198.265,29,small
106,32134.csv,C1C2CC3(CC1CC(C2)(C3)C(=O)O)C(=O)O,0,1,224.256,32,small
107,32151.csv,C1CNCCC1(C2=CC=C(C=C2)Br)O,0,1,256.143,28,small
108,32194.csv,CC(=O)NC1=CC=C(C=C1)NC(=O)C,0,1,192.218,26,small
109,32201.csv,C1=CC=C(C=C1)CNC2=CC=CC=N2,0,0,184.242,26,small
110,32475.csv,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O,0,1,247.681,27,small
111,32481.csv,CC(=O)NNC1=CC=CC=C1,0,1,150.181,21,small
112,32489.csv,C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2N)N,0,1,266.348,38,small
113,32491.csv,C1=C(C=C(C(=C1C(=O)O)I)I)I,0,1,499.811,15,small
114,32516.csv,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,0,1,356.057,25,small
115,32568.csv,C1=C(C=C(C=C1C(=O)O)[N+](=O)[O-])C(=O)O,0,1,211.129,20,small
116,32725.csv,CC(C)OC=O,0,0,88.106,14,small
117,32792.csv,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,0,1,256.345,39,small
118,32801.csv,C1CCC(=NO)C1,0,1,99.133,16,small
119,32801.csv,C1CCC(=NO)C1,0,7,99.133,16,small
120,32869.csv,CCCC#N,0,0,69.107,12,small
121,32919.csv,COC1=C(C=CC(=C1)CC#N)O,0,0,163.176,21,small
122,32923.csv,C1=CC(=C(C=C1O)Cl)F,0,0,146.548,13,small
123,32931.csv,C1CC2=NCCCN2C1,0,0,124.187,21,small
124,32933.csv,CC1CCC2=CC=CC=C2N1,0,0,147.221,24,small
125,32974.csv,COC1=CC(=CC(=C1)O)O,0,0,140.138,18,small
126,33058.csv,C1=CC(=C(N=C1)Cl)O,0,1,129.546,12,small
127,33155.csv,C1=C(C=NC=C1Br)C(=O)O,0,1,202.007,14,small
128,33186.csv,CCCCCCCCCCCCCCCCCC(=O)OCC1CO1,0,0,340.548,64,small
129,33229.csv,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)C2=O,0,0,230.266,28,small
130,33319.csv,C1=CC=C(C=C1)C(C2=CC(=CC=C2)O)O,0,1,200.237,27,small
131,33324.csv,C1CCC(CC1)(CCC2=CC=CC=C2)O,0,0,204.313,35,small
132,33344.csv,CCCCCCCCC1CCCC(=O)O1,0,0,212.333,39,small
133,33377.csv,COC1=C(C=C(C=C1)C=O)OCC2=CC=CC=C2,0,0,242.274,32,small
134,33394.csv,COC1=CC=CC=C1I,0,0,234.036,16,small
135,33399.csv,CCCCCCCCCCC(=O)C,0,0,184.323,37,small
136,33477.csv,CC(C)(C1=CC(=CC=C1)C(C)(C)N=C=O)N=C=O,0,0,244.294,34,small
137,33546.csv,CCC(C)(CO)CO,0,0,118.176,22,small
138,33547.csv,COC1=CC=C(C=C1)CCC(=O)O,0,0,180.203,25,small
139,33602.csv,CC(=O)CC(=O)NC1=C(C=C(C=C1)OC)OC,0,0,237.255,32,small
140,33620.csv,C1=CC(=C(C=C1[N+](=O)[O-])C#N)NCCO,0,1,207.189,24,small
141,33653.csv,C1=CC(=CC=C1NC2=NN=NS2)O,0,1,194.219,19,small
142,33805.csv,C1=NC2=C(N1)C(=NC=N2)Cl,0,1,154.56,13,small
143,33848.csv,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)N,0,0,213.236,27,small
144,34062.csv,CC1=C(C=C(C=C1)F)Cl,0,0,144.576,15,small
145,34112.csv,C1=CC(=C(N=C1)Cl)C(F)(F)F,0,0,181.544,14,small
146,34138.csv,CC(C)OC=C,0,0,86.134,16,small
147,34202.csv,CC1=NC2=C(C=C1)C=C(C=C2)F,0,0,161.179,20,small
148,34447.csv,C1=CC=C(C=C1)CN=CC2=CC=CC=C2,0,0,195.265,28,small
149,34521.csv,CCCCC(C(=O)OCC)Br,0,0,223.11,26,small
150,34535.csv,C1=CC(=CC(=C1)OC2=CC=C(C=C2)Cl)C=O,0,0,232.666,25,small
151,34579.csv,CC(=O)C1=CC2=CC=CC=C2C3=CC=CC=C31,0,0,220.271,29,small
152,34622.csv,CCOC(=O)C(CCC#N)C(=O)OCC,0,0,213.233,30,small
153,34649.csv,C1=CC(=NC=C1N)Cl,0,0,128.562,13,small
154,34733.csv,C1=CC(=C(C(=C1)Cl)Cl)S,0,0,179.071,13,small
155,34753.csv,C1=CC=C2C(=C1)C(=O)N(C2=O)CCl,0,0,195.605,19,small
156,34900.csv,CC(C)CC#C,0,0,82.146,16,small
157,35005.csv,C(CCC#N)CCBr,0,0,176.057,18,small
158,35070.csv,C1=CC=C2C(=C1)C3=C(C2=O)C=C(C=C3)N,0,0,195.221,24,small
159,35081.csv,C1=CC(=CC=C1C2=CC=C(C=C2)F)F,0,0,190.192,22,small
160,35192.csv,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C(=O)O,0,1,222.243,27,small
161,35231.csv,COC(=O)C1=C(N(N=N1)C2=CC=CC3=C2C(=CC=C3)N4C(=C(N=N4)C(=O)OC)C(=O)OC)C(=O)OC,0,0,494.42,54,small
162,35338.csv,CC1=CC2=C(CCCC2)C=C1,0,0,146.233,25,small
163,35380.csv,C1=CC2=C(C=CC=N2)C(=C1)O,0,1,145.161,18,small
164,35511.csv,CCCCCC1CCC(CC1)C(=O)OC2=CC=C(C=C2)OCC,0,0,318.457,53,small
165,35543.csv,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Br,0,0,261.118,24,small
166,00470.csv,CCCC1=CC2=C(C(=C1C(=O)O)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,0,1,342.303,39,small
167,13865.csv,C[C@]12C[C@H]([C@@H](CO1)[C@H]3CC[C@@H]4[C@@]3([C@@H](C[C@H]5[C@H]4CC=C6[C@@]5(C(=O)CC=C6)C)O)C)OC(=O)C2=C,0,0,452.591,69,small
168,13865.csv,C[C@]12C[C@H]([C@@H](CO1)[C@H]3CC[C@@H]4[C@@]3([C@@H](C[C@H]5[C@H]4CC=C6[C@@]5(C(=O)CC=C6)C)O)C)OC(=O)C2=C,0,5,452.591,69,small
169,14278.csv,C[C@@]12C[C@@H](C[C@]34[C@@H]1[C@@]5(C[C@@]67[C@H]3C[C@@H](C(=C)C6)C(=O)[C@@H]7[C@H]4[N@@+]5(C2)C)O)O,0,5,342.459,53,small
170,16282.csv,C[C@]12CCCC(C1[C@@H](C=C3[C@@]2(C(=O)OC3)O)OC(=O)/C=C/C=C/C(=O)O)(C)C,0,1,390.432,54,small
171,17099.csv,C[C@]12CCCC([C@@H]1CCC(=C)[C@@H]2/C=C/C3=CCOC3=O)(C)C,0,0,300.442,50,small
172,17867.csv,CC1=CC(=C2C(=C1)O[C@@]3(C(=CC(=O)[C@H]([C@]3(C2=O)O)O)OC)C)O,0,0,320.297,39,small
173,17867.csv,CC1=CC(=C2C(=C1)O[C@@]3(C(=CC(=O)[C@H]([C@]3(C2=O)O)O)OC)C)O,0,5,320.297,39,small
174,18075.csv,C[C@H]1[C@@H]2CC=C3[C@@H]4CC[C@@H]([C@]4(CC[C@@H]3[C@]2(C[C@H]([C@@H]1O)O)C)C)[C@@H](CCC(=C)C(C)C)C(=O)O,0,0,458.683,79,small
175,18075.csv,C[C@H]1[C@@H]2CC=C3[C@@H]4CC[C@@H]([C@]4(CC[C@@H]3[C@]2(C[C@H]([C@@H]1O)O)C)C)[C@@H](CCC(=C)C(C)C)C(=O)O,0,5,458.683,79,small
176,27232.csv,C[C@@]12C3=C4[C@@]5([C@@](C(C)([C@H](CC5)O)C)([H])C[C@]3([H])OC(C)(O[C@@]1([H])C[C@]([C@]2(CC4=O)C)([H])[C@H](C)CC(C[C@@H](C)C(O)=O)=O)C)C,0,6,558.756,90,medium
177,22519.csv,COC1=CC2=C(OCO2)C=C1C1=COC2=CC(O)=CC(O)=C2C1=O,0,2,328.276,36,small
178,02420.csv,[H]OC(=O)C([H])([H])[C@@]([H])(N([H])C(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(N([H])[H])C([H])([H])O[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0,1,342.348,46,small
179,07205.csv,[H]OC1=C([H])C([H])=C([H])C(=C1O[H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(O[H])=C1O[H],0,0,384.516,60,small
180,07205.csv,[H]OC1=C([H])C([H])=C([H])C(=C1O[H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(O[H])=C1O[H],0,5,384.516,60,small
181,00739.csv,[H]OC([H])([H])[C@@]1([H])[C@@]2([H])C3=C(C([H])([H])OC3=O)[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])(C([H])([H])[H])C([H])([H])[H],0,5,250.338,40,small
182,00740.csv,[H]OC([H])([H])[C@@]1([H])C(=O)[C@]2([H])[C@]([H])(C([H])([H])[H])[C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])(C([H])([H])[H])C([H])([H])[H],0,0,224.344,40,small
183,03094.csv,[H]OC([H])([H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1N1C([H])=NC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2C1=O,0,5,312.325,39,small
