,hnmr,graph,file,smiles
33,020036226.csv,020036226.pickle,020036226,C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])F
35,020039201.csv,020039201.pickle,020039201,C1(=C(C(=C(C(=C1[N+]([O-])=O)[H])[H])OC(C([H])([H])[H])([H])[H])[H])[H]
36,020097194.csv,020097194.pickle,020097194,C(C1=C(C(=C(C(=C1I)[H])[H])[H])[H])([H])([H])[H]
44,020096493.csv,020096493.pickle,020096493,C(C(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(C(=C([H])[H])[H])[H])([H])([H])[H]
45,020097631.csv,020097631.pickle,020097631,C1(=C(C(=C(C(=C1[H])C(Cl)(Cl)Cl)Cl)[H])[H])[H]
48,010022293.csv,010022293.pickle,010022293,C1(=C(C(=O)C(C(N1C2(OC(C(C(C2(OC(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)[H])(C(OC(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)([H])[H])[H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])([H])[H])[H])[H]
49,020176153.csv,020176153.pickle,020176153,O1C(OC=2C(=C3C(C(C(=C(O3)C4=C(C(=C(C(=C4[H])[H])O[H])OC([H])([H])[H])[H])O[H])=O)=C(C2[H])O[H])O[H])(C(C(C(C1(C(OC(=O)C([H])([H])[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H]
58,010022377.csv,010022377.pickle,010022377,C(N(S(C1=C(C(=C(C2=C1C(=C(C(=C2N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H])[H])(=O)=O)[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C(=O)N(C(C([H])([H])[H])(C(=O)N(C(C([H])([H])[H])(C(=O)N(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C(=O)N(C(C(C3=C(N(C4=C3C(=C(C(=C4[H])[H])[H])[H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])(C(=O)O[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
62,000088819.csv,000088819.pickle,000088819,C(O[H])(C(S(=O)(=O)[O-])([H])[H])([H])[H]
63,010021597.csv,010021597.pickle,010021597,C1(=O)C(=O)C2=C1C(C3=C(C2([H])[H])C(C(=C(C3([H])[H])[H])[H])([H])[H])([H])[H]
65,020143608.csv,020143608.pickle,020143608,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])N([H])[H]
74,000011396.csv,000011396.pickle,000011396,C1(OC(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])=C(C(=C(C(=C1[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])[N+]([O-])=O
75,020143231.csv,020143231.pickle,020143231,C=1(C(=C(C(=C(C1[H])N([H])[H])OC(C([H])([H])[H])([H])[H])[H])[H])OC(C([H])([H])[H])([H])[H]
79,000006683.csv,000006683.pickle,000006683,C1(=C(C(=C2C(=C1[H])OC(=C(C2=O)OC3(C(O[H])([H])C(C(C(O3)(C([H])([H])[H])[H])([H])O[H])([H])O[H])[H])C4=C(C(=C(C(=C4[H])[H])O[H])[H])[H])O[H])[H])OC5(C(O[H])([H])C(C(C(O5)(C([H])([H])[H])[H])([H])O[H])([H])O[H])[H]
81,020000462.csv,020000462.pickle,020000462,C1(=C(C(=C(C(=C1[H])[H])C(O[H])=C(C(=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])C(O[H])=C(C(=O)C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H]
83,010022251.csv,010022251.pickle,010022251,C1(C2=C(C3=C1C(=C(C(=C3[H])[H])[H])[H])C(=C(C(=C2[H])[H])[H])[H])(C(OC(=O)N(C(C(C(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(C(=O)OC(C=4C(=C(C(=C(C4[H])[H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H]
88,010021609.csv,010021609.pickle,010021609,C(OC(=O)C=1SC(=C(C1C([H])([H])[H])[H])[H])([H])([H])[H]
89,010018782.csv,010018782.pickle,010018782,C1(=C(C(=C(C2=C1C(=C(N2C([H])([H])[H])[H])[H])[H])[H])[H])[H]
91,010016835.csv,010016835.pickle,010016835,ClC(C(=O)OC([H])([H])[H])([H])[H]
92,020172712.csv,020172712.pickle,020172712,O1C2(C3(C(C(C(C(C3(O[H])C([H])([H])[H])(OC(=O)C([H])([H])[H])[H])([H])[H])(O[H])[H])(C(C(C2(C(C1=O)=C([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])C([H])([H])[H])[H])[H]
93,020171388.csv,020171388.pickle,020171388,O1C(=NN(C1=S)C([H])([H])[H])C(C(=O)C([H])([H])[H])([H])[H]
95,010022708.csv,010022708.pickle,010022708,[H]N1C(=C(C(=C1[H])[H])[H])C(C=2C(=C(C(Cl)=C(C2[H])[H])[H])[H])=O
96,020173500.csv,020173500.pickle,020173500,O1C2(C(C(C1([H])[H])([H])[H])([H])[H])ON=C(C2([H])[H])C(=O)C([H])([H])[H]
101,020112713.csv,020112713.pickle,020112713,S=C(N(C([H])([H])[H])[H])N([H])[H]
105,010025816.csv,010025816.pickle,010025816,C1(=C(C(=C(C(=C1[H])C(OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])=O)C(OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])=O)[H])[H])[H]
111,020097544.csv,020097544.pickle,020097544,C(C(OC(=O)C(C([H])([H])[H])(Br)[H])([H])[H])([H])([H])[H]
112,010021843.csv,010021843.pickle,010021843,C1(=C(C(=C(C(=C1[H])[H])C(OC2=C(C(=C(C(=C2[H])[H])C(=[N+](C(C([H])([H])[H])(C([H])([H])[H])[H])[O-])[H])[H])[H])([H])[H])[H])[H])C(=C([H])[H])[H]
113,010021898.csv,010021898.pickle,010021898,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
114,020096877.csv,020096877.pickle,020096877,C(=C(C(OC(C=1C(=C(N=C(C1[H])[H])[H])[H])=O)([H])[H])[H])([H])[H]
118,000019788.csv,000019788.pickle,000019788,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])C=3N(C(=NC3[N+]([O-])=O)[H])C([H])([H])[H])[H])[H])[H])[H]
119,020096462.csv,020096462.pickle,020096462,C1(=C(C(=C(C(=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)[H])[H])Cl)Cl)Cl)[H])[H]
123,010011080.csv,010011080.pickle,010011080,C(C(Cl)(Cl)Cl)([H])([H])[H]
126,020045256.csv,020045256.pickle,020045256,C(S(C([H])([H])[H])(=O)=O)(=C([H])[H])[H]
127,020054740.csv,020054740.pickle,020054740,C=12N(C3=C(C1C(=C(C(=C2[H])[H])[H])[H])C(=C(C(=C3[H])[H])[H])[H])C(C([H])([H])[H])([H])[H]
129,010022044.csv,010022044.pickle,010022044,C1(=C(C(=C(C(=C1[H])OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C#N)[H])[H])[H])[H])[H])OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=O)[H]
130,020096521.csv,020096521.pickle,020096521,C([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H]
131,010022126.csv,010022126.pickle,010022126,C1(=C(C(=C(C2=C1C(C(C2([H])[H])([H])[H])([H])[H])[H])Br)[H])[H]
133,020123611.csv,020123611.pickle,020123611,C1(=C(C(=C(C2=C1C(C(C2([H])[H])([H])[H])([H])[H])[H])O[H])[H])[H]
136,020097556.csv,020097556.pickle,020097556,C1(=C(C(=C(C(=C1[H])Br)[H])[N+]([O-])=O)[H])[H]
137,020097168.csv,020097168.pickle,020097168,C1(=C(C(=C(C(=C1OC=2C(=C(C(=C(C2[H])[H])Br)[H])[H])[H])[H])Br)[H])[H]
143,010021981.csv,010021981.pickle,010021981,C1(=C(C(=C(C(=C1C#N)[H])C([H])([H])[H])C#N)[H])C([H])([H])[H]
145,020096890.csv,020096890.pickle,020096890,C1(=C(C(=C(C(=C1[H])C(=O)[H])[H])C(=O)[H])[H])[H]
149,010022064.csv,010022064.pickle,010022064,C1(N2C(N(C3=C1C(C(C(=C3[H])C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])([H])[H])(C5=C(C(=C(C(=C5[H])[H])OC([H])([H])[H])[H])[H])[H])[H])=NC(=N2)[H])(C6=C(C(=C(C(=C6[H])[H])[H])[H])[H])[H]
151,010018386.csv,010018386.pickle,010018386,C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H])[H]
157,020097585.csv,020097585.pickle,020097585,C(C1=C(C(C([H])([H])[H])=NC2=C(C(=C(C(=C12)[H])[H])[H])[H])[H])([H])([H])[H]
160,020096470.csv,020096470.pickle,020096470,C1(=C(C(=C(C(=C1[H])[H])C2=C(C(=C(C(=C2Cl)[H])[H])[H])Cl)[H])[H])[H]
162,020041086.csv,020041086.pickle,020041086,C1(=C(C(=C(C(=C1O[H])C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])C(N(C([H])([H])[H])C([H])([H])[H])([H])[H]
170,010021657.csv,010021657.pickle,010021657,C(C(C([H])([H])[H])(C(C(C=1OC(C([H])([H])[H])=C(C(=O)C1O[H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
174,020026975.csv,020026975.pickle,020026975,C=12C(=C(C(=C(C1C(N(C=3C(=C(C(=C(C3[H])[H])C([H])([H])[H])[H])[H])[H])=C(OC2=O)N([H])[H])[H])[H])[H])[H]
176,020112690.csv,020112690.pickle,020112690,O(C1=C(C(=O)[H])C=2C(C(=C1[H])[H])=C(C(=C(C2[H])[H])[H])[H])[H]
180,020097921.csv,020097921.pickle,020097921,C(C(C=1C(=C(C(=C(C1Cl)[H])Cl)[H])[H])=O)([H])([H])[H]
182,010022339.csv,010022339.pickle,010022339,C1(=C(C(=C(C(=C1Cl)[H])[H])[H])[H])C(C(OC([H])([H])[H])=O)([H])[H]
185,020096444.csv,020096444.pickle,020096444,C(C(C(C(C([H])([H])[H])(C([H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
197,020142617.csv,020142617.pickle,020142617,C=1(C(=C(C(=C(C1O[H])[H])[H])S(=O)(=O)N([H])[H])[H])[H]
198,020096857.csv,020096857.pickle,020096857,C(C1=C(C2=C(C(=C(C(=C2C(=C1C([H])([H])[H])[H])[H])[H])[H])[H])[H])([H])([H])[H]
199,010011074.csv,010011074.pickle,010011074,C(C(Cl)(Cl)[H])([H])([H])[H]
201,010016370.csv,010016370.pickle,010016370,C(C(C([H])([H])[H])(C(C(C([H])([H])[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])([H])([H])[H]
204,010020270.csv,010020270.pickle,010020270,C([Si](C([H])([H])[H])(C([H])([H])[H])C#C[Sn](C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
216,020097557.csv,020097557.pickle,020097557,C(C(C([H])([H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])C(O[H])([H])[H])([H])[H])[H])([H])([H])[H]
217,020097230.csv,020097230.pickle,020097230,C(C(C(C(OC(C(OC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])=O)=O)([H])[H])([H])[H])([H])[H])([H])([H])[H]
218,010022775.csv,010022775.pickle,010022775,C1(=C(C(=C(C(=C1C(=C(C2=C(C(=C(C(=C2[H])[H])C(=C(C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
227,020050434.csv,020050434.pickle,020050434,C(=O)(Cl)C(=C([H])[H])C([H])([H])[H]
232,010020312.csv,010020312.pickle,010020312,C1(=C(C(=C(C(=C1C(=O)O[H])[H])Cl)[H])[H])OC(C(N(C(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])C(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H]
233,010021865.csv,010021865.pickle,010021865,C1(=C(C(=C(C(=C1[H])[H])S(OC2=C(C(=C(C(=C2F)F)F)F)F)(=O)=O)[H])[H])C([H])([H])[H]
238,020097541.csv,020097541.pickle,020097541,C1(C(=C(C(O1)=O)O[H])[O-])(C(C(O[H])([H])[H])(O[H])[H])[H]
240,020111963.csv,020111963.pickle,020111963,O(C(OC([H])([H])[H])(C(OC([H])([H])[H])=O)[H])C([H])([H])[H]
241,020097655.csv,020097655.pickle,020097655,C(C(=O)[O-])(C(C([H])([H])[H])([H])[H])([H])[H]
243,010022166.csv,010022166.pickle,010022166,C1(=C(C(=C(C(=C1[H])C(O[H])([H])[H])[H])C(O[H])([H])[H])[H])OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
246,000077175.csv,000077175.pickle,000077175,C1(OC1(C(Br)([H])[H])[H])([H])[H]
251,020097584.csv,020097584.pickle,020097584,C1(=C(C(=C(C(=C1[H])[H])C=2C3=C(C(=C(C(=C3C(C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])=C5C(=C(C(=C(C52)[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
254,010021879.csv,010021879.pickle,010021879,C1(N([H])C(=O)C(C2=C(N(C3=C2C(=C(C(=C3[H])[H])[H])[H])[H])[H])([H])[H])=C(N(C(=C1[H])C(=O)N([H])C=4C(=C(N(C4[H])C([H])([H])[H])C(=O)OC([H])([H])[H])[H])C([H])([H])[H])[H]
256,010006311.csv,010006311.pickle,010006311,C(C(N([H])[H])([H])[H])(N([H])[H])([H])[H]
260,010022773.csv,010022773.pickle,010022773,[H]OC(=O)C(=C(C(=O)C1=C(C(=C(Br)C(=C1[H])[H])[H])[H])[H])[H]
261,010011073.csv,010011073.pickle,010011073,C(Cl)(C(C(Cl)([H])[H])([H])[H])([H])[H]
265,020035465.csv,020035465.pickle,020035465,C1(=C(C(=NC(=C1C([H])([H])[H])[H])[H])[H])C([H])([H])[H]
266,000088499.csv,000088499.pickle,000088499,C=1(N(C(=C(C1[H])[H])[H])C(=C([H])[H])[H])C2=C(C(=C(C(=C2[H])[H])OC([H])([H])[H])[H])[H]
268,020172084.csv,020172084.pickle,020172084,O1C(C(C(OC1(N(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H]
270,010022043.csv,010022043.pickle,010022043,C1(=C(C(=C(C(=C1[H])[H])C#CC2=C(C(=C(C(=C2[H])[H])C#N)[H])[H])[H])[H])N([H])[H]
271,020097247.csv,020097247.pickle,020097247,C(C(C([H])([H])[H])(C(O[H])([H])[H])C(O[H])([H])[H])([H])([H])[H]
272,000010343.csv,000010343.pickle,000010343,C=1(C(=C(C(=NC1[H])[H])[H])C(C([H])([H])[H])([H])[H])[H]
273,010021661.csv,010021661.pickle,010021661,C1(=C(C(=C(C2=C1C3=C(C(C(C2([H])[H])([H])[H])([H])[H])C(N(C3=O)C(C(OC([H])([H])[H])([H])[H])([H])[H])=O)[H])[H])[H])[H]
274,020028919.csv,020028919.pickle,020028919,C(I)([H])([H])[H]
275,010021899.csv,010021899.pickle,010021899,C1(=C(C(=C(C(=C1C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C(O[H])([H])[H])Cl)[H])[H])[H])[H]
279,000090635.csv,000090635.pickle,000090635,C1(=C(C(=C(C2=C1C(C(N2[H])=O)([H])[H])[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H]
280,010021964.csv,010021964.pickle,010021964,C12(C(C(C(=C1[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])(C(C(C2([H])[H])([H])[H])([H])[H])[H])[H]
284,020173689.csv,020173689.pickle,020173689,C=1(C(=C(C(=C(C1[H])[H])C(=C(N=C(SC([H])([H])[H])SC([H])([H])[H])[H])[H])[H])[H])OS(=O)(=O)[O-]
285,020092120.csv,020092120.pickle,020092120,C=1(N(C(=C(C1[H])Br)[H])[H])C(N(C(C(C(C(N(C(=N[H])N([H])[H])[H])([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H])[H])=O
291,010022768.csv,010022768.pickle,010022768,N#CC(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])=C(C=2C(OC(C(C([H])([H])[H])([H])[H])([H])[H])=C(C(C(=C(C#N)C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])=C(OC(C(C([H])([H])[H])([H])[H])([H])[H])C2[H])[H])[H]
292,020054750.csv,020054750.pickle,020054750,C1(=C(C(=C(C(=C1[H])[H])N(C=2C(=C(C(=C(C2C(=O)O[H])[H])[H])[H])[H])[H])[H])[H])[H]
293,020143549.csv,020143549.pickle,020143549,C1(=C(C(=NC(=C1C(=O)OC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H]
294,020096883.csv,020096883.pickle,020096883,C1(C([H])([H])[H])=NC(=NC(=N1)N([H])[H])N([H])[H]
299,020175820.csv,020175820.pickle,020175820,N=1C=2C(C(=NC1[H])N(C=3C(=C(C(=C(C3[H])Br)[H])[H])[H])[H])=C(C(=NC2[H])F)[H]
303,010022712.csv,010022712.pickle,010022712,O=C1C(=O)C2=C1C(C=3C(C(C(C(C(C3C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
307,010026154.csv,010026154.pickle,010026154,C=1(N=C(C2=C(N1)N(C(=N2)[H])C3(C(C(C(O3)(C(O[H])([H])[H])[H])(OC4(C(C(C(O4)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])[H])[H])(O[H])[H])[H])N([H])[H])[H]
308,020044929.csv,020044929.pickle,020044929,C(C#N)(Cl)=C([H])[H]
309,010021776.csv,010021776.pickle,010021776,C1(=C(C(=C(C(=C1[H])F)C#N)[H])[H])OC([H])([H])[H]
310,010024159.csv,010024159.pickle,010024159,C(C(O[H])(C(Cl)([H])[H])[H])([H])([H])[H]
313,010016719.csv,010016719.pickle,010016719,C(OS(OC([H])([H])[H])(=O)=O)([H])([H])[H]
314,020097244.csv,020097244.pickle,020097244,C(C(OC(C(OC(C(OC(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
315,010022257.csv,010022257.pickle,010022257,C1(=C(C(=C(C(=C1[H])[H])S(=O)(=O)N(C([H])([H])[H])[H])[H])[H])[N+](=O)[O-]
317,010022087.csv,010022087.pickle,010022087,C1(=C(C(=C(C(=C1O[H])C(=O)C(C2=C(C(=C(C(=C2[H])[H])F)[H])[H])([H])[H])[H])[H])O[H])C([H])([H])[H]
319,020176233.csv,020176233.pickle,020176233,N=1C=2C(C(=NC1[H])N(C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H])=C(C(=NC2[H])F)[H]
323,010021157.csv,010021157.pickle,010021157,C12=C(C(=C(C3=C1C(=C(N3[H])[H])C4=C(N=C2C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])N=C(N4C([H])([H])[H])[H])[H])[H])[H]
325,020143944.csv,020143944.pickle,020143944,C1(=C(C(=C(C(=C1[H])O[H])C(=O)C(C([H])([H])[H])([H])[H])O[H])[H])O[H]
332,010021821.csv,010021821.pickle,010021821,C1(=C(C(=C(C(=C1OC([H])([H])[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])OC([H])([H])[H])[H]
333,020097564.csv,020097564.pickle,020097564,C1(=C(C(=C(C(=C1F)[H])[H])Cl)[H])[H]
336,010017070.csv,010017070.pickle,010017070,C(=C(C#N)[H])(C#N)[H]
337,010020488.csv,010020488.pickle,010020488,C(#CC(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H]
338,020096485.csv,020096485.pickle,020096485,C(=C(C([H])([H])[H])C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
339,020097919.csv,020097919.pickle,020097919,C1(=C(C(=C(C(=C1[H])[H])C(C2=C(C(=C(C(=C2O[H])[H])[H])[H])[H])=O)[H])[H])[H]
343,020096441.csv,020096441.pickle,020096441,C(C(C(C([H])([H])[H])([H])[H])([H])[H])(C(C(C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H]
346,020096796.csv,020096796.pickle,020096796,C1(=C(C(=C2C(=C1[H])C(N(C(C(C(Br)([H])[H])([H])[H])([H])[H])C2=O)=O)[H])[H])[H]
347,010021736.csv,010021736.pickle,010021736,C1(=C(C(=C(C(=C1[H])[H])C2=NC(C(O2)([H])[H])([H])[H])[H])[H])[N+]([O-])=O
350,020168027.csv,020168027.pickle,020168027,C12(C(C(C(C(C1(C([H])([H])[H])C(C=3C(C(=C(C(C3O[H])=O)[H])N(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])[H])=O)([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])(C(C(C(C2([H])[H])([H])[H])([H])[H])=C([H])[H])C([H])([H])[H])[H]
351,020044934.csv,020044934.pickle,020044934,C(C#N)(C(OC(C([H])([H])[H])([H])[H])(OC(C([H])([H])[H])([H])[H])[H])([H])[H]
352,020143181.csv,020143181.pickle,020143181,C(#CC(O[H])(C(C(C([H])([H])[H])([H])[H])(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
355,020093988.csv,020093988.pickle,020093988,C1(C(C(C(C2(C1(C3(C(C(C2([H])[H])([H])[H])(C4(C(C(C(C4(C(C3([H])[H])([H])[H])C([H])([H])[H])(C(=C([H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])([H])[H])(OC5(OC(C(C(C5(O[H])[H])(O[H])[H])(O[H])[H])([H])[H])[H])[H])([H])[H])([H])[H]
356,010022725.csv,010022725.pickle,010022725,C(C(OC(=O)C1=C(C(OC(C(C([H])([H])[H])([H])[H])([H])[H])=C(OC(C(C([H])([H])[H])([H])[H])([H])[H])C(OC(C(C([H])([H])[H])([H])[H])([H])[H])=C1[H])[H])([H])[H])([H])([H])[H]
359,020112341.csv,020112341.pickle,020112341,S(=O)(=O)([N+]([H])([H])[H])C=1C(=C(C(C(N([H])[H])([H])[H])=C(C1[H])[H])[H])[H]
363,020096926.csv,020096926.pickle,020096926,C(C(C(C(OC(C(OC(C(OC(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
367,020172406.csv,020172406.pickle,020172406,C1(C(C1(C(=O)O[H])C(=O)O[H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
377,000010810.csv,000010810.pickle,000010810,C(=C(C(=C([H])[H])C([H])([H])[H])C([H])([H])[H])([H])[H]
379,010022247.csv,010022247.pickle,010022247,C1(C(C(OC(C1(N(C(=O)OC(C2(C3=C(C4=C2C(=C(C(=C4[H])[H])[H])[H])C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])[H])[H])(SC(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(O[H])([H])[H])[H])(OC(C=5C(=C(C(=C(C5[H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])(O[H])[H]
381,020168332.csv,020168332.pickle,020168332,N1(C(=C(C(C(=C1[H])[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])C(=O)OC(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H]
391,010024495.csv,010024495.pickle,010024495,C(Br)(Br)(C(Br)([H])[H])[H]
392,020040379.csv,020040379.pickle,020040379,C1(=C(C(=C(C(=C1C(Cl)([H])[H])[H])[H])Cl)Cl)[H]
